CuID	Fullname	Email	Phone	Address	Gender	DOB
1	Heather Jones	anthonybennett@example.net	1145379952	706 Taylor Island Suite 951 Jordanfurt, MN 93408	female	9/21/2003
2	Carol Grimes	traci58@example.net	1516381567	70536 Woodard Tunnel South Andrewmouth, MT 38539	female	9/6/1996
3	Sonya Hicks	lopezadam@example.com	3715455403	58910 Moreno Forks Barryburgh, ID 92623	male	10/22/1994
4	Adrienne Jackson	mario60@example.net	7516609091	585 Medina Isle Suite 913 Hollyborough, CT 61422	female	4/5/1974
5	Jessica Williams	bakerrichard@example.com	2320067880	24691 Wade Pine Suite 698 Ericmouth, KY 39089	male	4/22/1987
6	Latoya Harvey	rliu@example.com	3798091659	906 Nancy Crescent Oconnorfurt, MS 16485	male	10/22/2004
7	Christine Simon	brett13@example.com	1248453143	700 Stephanie Garden Apt. 027 Weissstad, IN 53579	male	6/13/1987
8	Jeremy Hernandez	rogersreginald@example.com	5426240087	USNS Cole FPO AP 91870	female	4/21/1976
9	Samantha Ball	bobbygarrison@example.com	9070657632	86641 Ferguson Garden Apt. 653 Williamsside, NC 66600	female	10/7/1986
10	Gabriel Phillips	jesus58@example.org	1758177783	10160 Barbara Dale Suite 934 Lake Sarah, NH 41434	female	4/27/1984
11	Sherry Conley	gracefranklin@example.org	7622434914	337 Jason Groves Apt. 127 New Sarah, LA 07922	male	12/27/1990
12	Alexander Allen	dwayne35@example.com	3155292644	PSC 9143, Box 1692 APO AA 25651	female	1/12/2006
13	Jessica Anderson	fsimpson@example.com	3140260935	561 Brock Haven Suite 559 Kennedyton, MS 86333	female	10/17/1972
14	Amanda Osborn	mdaniel@example.com	8669376764	92907 Cardenas Crossing Suite 188 Coreyberg, IA 03071	female	2/23/2005
15	Wayne Romero	paulkelly@example.com	2217119351	8989 Mary Path Suite 098 Brettville, PA 48162	male	4/2/1984
16	Douglas Barajas	jsalazar@example.com	3223415916	098 Bennett Crossing Lake Frederick, CT 20176	female	2/9/1984
17	Tina Brooks	danielle36@example.com	3195557885	78897 Darrell Bridge Rodriguezview, OR 14589	female	7/13/1976
18	Angela Paul	conwaykathleen@example.net	8515715204	0277 Walker Garden New Ashley, VI 68778	female	3/2/2004
19	David Green	qwilson@example.org	5927722413	7516 Jamie Prairie Carolview, HI 14887	male	4/30/1990
20	Mr. Nathan Anderson	xmelendez@example.net	2305065255	8677 Davis Spring Suite 653 West Brianton, CA 23219	male	5/12/1984
